Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,3.560000,3.610000,3.515000,3.540000,3.540000,1277630
2020-01-03,3.590000,3.620000,3.520000,3.530000,3.530000,2240109
2020-01-06,3.520000,3.520000,3.430000,3.450000,3.450000,3995587
2020-01-07,3.480000,3.510000,3.405000,3.420000,3.420000,2263956
2020-01-08,3.400000,3.400000,3.160000,3.180000,3.180000,5693994
2020-01-09,3.240000,3.370000,3.240000,3.370000,3.370000,3228657
2020-01-10,3.410000,3.540000,3.410000,3.530000,3.530000,3358062
2020-01-13,3.510000,3.780000,3.460000,3.640000,3.640000,6205707
2020-01-14,3.720000,3.755000,3.630000,3.630000,3.630000,6012197
2020-01-15,3.630000,3.670000,3.550000,3.570000,3.570000,3125408
2020-01-16,3.590000,3.760000,3.560000,3.730000,3.730000,4832969
2020-01-17,3.780000,3.920000,3.780000,3.820000,3.820000,5132590
2020-01-20,3.890000,3.900000,3.680000,3.810000,3.810000,2643001
2020-01-21,3.820000,3.880000,3.710000,3.710000,3.710000,2574466
2020-01-22,3.740000,4.050000,3.730000,4.020000,4.020000,7045183
2020-01-23,4.000000,4.040000,3.940000,3.990000,3.990000,2130029
2020-01-24,4.040000,4.200000,4.020000,4.080000,4.080000,4110578
2020-01-28,3.930000,3.990000,3.810000,3.850000,3.850000,3424688
2020-01-29,3.950000,4.080000,3.940000,4.080000,4.080000,3738247
2020-01-30,4.030000,4.180000,3.875000,3.940000,3.940000,5593318
2020-01-31,4.040000,4.080000,3.990000,4.040000,4.040000,3250300
2020-02-03,3.900000,3.925000,3.840000,3.870000,3.870000,3417866
2020-02-04,3.950000,4.380000,3.950000,4.350000,4.350000,8819778
2020-02-05,4.480000,4.480000,4.240000,4.320000,4.320000,6374670
2020-02-06,4.340000,4.395000,4.165000,4.230000,4.230000,3959940
2020-02-07,4.180000,4.210000,4.070000,4.100000,4.100000,4937744
2020-02-10,4.110000,4.160000,4.020000,4.070000,4.070000,2249125
2020-02-11,4.090000,4.220000,4.050000,4.080000,4.080000,7882501
2020-02-12,4.100000,4.140000,4.020000,4.060000,4.060000,2174219
2020-02-13,4.080000,4.140000,4.040000,4.080000,4.080000,2810853
2020-02-14,4.090000,4.160000,4.020000,4.090000,4.090000,3772864
2020-02-17,4.090000,4.090000,3.860000,3.880000,3.880000,4562091
2020-02-18,3.900000,3.920000,3.830000,3.840000,3.840000,3036692
2020-02-19,3.850000,3.880000,3.800000,3.880000,3.880000,2031799
2020-02-20,3.880000,3.910000,3.720000,3.750000,3.750000,2515257
2020-02-21,3.770000,3.800000,3.640000,3.650000,3.650000,2987466
2020-02-24,3.610000,3.610000,3.450000,3.550000,3.550000,4420967
2020-02-25,3.310000,3.530000,3.260000,3.470000,3.470000,6149325
2020-02-26,3.360000,3.380000,3.260000,3.290000,3.290000,4669777
2020-02-27,3.250000,3.490000,3.020000,3.030000,3.030000,6591260
2020-02-28,2.800000,2.920000,2.660000,2.720000,2.720000,10642962
2020-03-02,2.650000,2.850000,2.530000,2.840000,2.840000,8281861
2020-03-03,3.050000,3.160000,2.700000,2.730000,2.730000,9566650
2020-03-04,2.680000,2.750000,2.550000,2.580000,2.580000,5490783
2020-03-05,2.690000,2.720000,2.440000,2.500000,2.500000,7313992
2020-03-06,2.420000,2.470000,2.180000,2.210000,2.210000,10954977
2020-03-09,2.030000,2.090000,1.810000,1.820000,1.820000,10527892
2020-03-10,1.680000,2.110000,1.675000,1.900000,1.900000,14693146
2020-03-11,1.990000,1.990000,1.700000,1.700000,1.700000,15796824
2020-03-12,1.670000,1.700000,1.370000,1.380000,1.380000,14602968
2020-03-13,1.200000,1.425000,1.155000,1.400000,1.400000,22922625
2020-03-16,1.280000,1.450000,1.250000,1.345000,1.345000,11565458
2020-03-17,1.345000,1.620000,1.345000,1.605000,1.605000,14974496
2020-03-18,1.600000,1.605000,1.275000,1.320000,1.320000,12949708
2020-03-19,1.335000,1.415000,1.130000,1.175000,1.175000,9378329
2020-03-20,1.280000,1.410000,1.220000,1.270000,1.270000,12192508
2020-03-23,1.290000,1.290000,1.050000,1.225000,1.225000,11552661
2020-03-24,1.270000,1.330000,1.190000,1.285000,1.285000,7252820
2020-03-25,1.460000,1.525000,1.310000,1.425000,1.425000,9509867
2020-03-26,1.470000,1.695000,1.470000,1.570000,1.570000,10804681
2020-03-27,1.820000,1.865000,1.380000,1.410000,1.410000,15650040
2020-03-30,1.425000,1.525000,1.415000,1.470000,1.470000,5899565
2020-03-31,1.590000,1.735000,1.545000,1.585000,1.585000,8488475
2020-04-01,1.635000,1.685000,1.585000,1.650000,1.650000,4069048
2020-04-02,1.605000,1.645000,1.505000,1.600000,1.600000,4525261
2020-04-03,1.680000,1.745000,1.630000,1.705000,1.705000,8210113
2020-04-06,1.750000,1.970000,1.745000,1.970000,1.970000,6959638
2020-04-07,2.160000,2.350000,2.060000,2.160000,2.160000,10089554
2020-04-08,2.130000,2.330000,2.000000,2.080000,2.080000,11247415
2020-04-09,2.190000,2.260000,2.100000,2.230000,2.230000,9713787
2020-04-14,2.350000,2.630000,2.210000,2.590000,2.590000,13719466
2020-04-15,2.610000,2.740000,2.440000,2.500000,2.500000,12678448
2020-04-16,2.400000,2.420000,2.240000,2.280000,2.280000,8920561
2020-04-17,2.420000,2.480000,2.310000,2.350000,2.350000,8203512
2020-04-20,2.380000,2.390000,2.270000,2.280000,2.280000,5696081
2020-04-21,2.230000,2.230000,1.970000,2.020000,2.020000,9932183
2020-04-22,1.900000,2.030000,1.810000,1.995000,1.995000,8280797
2020-04-23,2.090000,2.130000,1.930000,1.940000,1.940000,6101601
2020-04-24,1.965000,2.010000,1.910000,1.920000,1.920000,4358764
2020-04-27,1.980000,2.110000,1.955000,2.090000,2.090000,5881372
2020-04-28,2.190000,2.210000,2.060000,2.110000,2.110000,6103911
2020-04-29,2.120000,2.200000,2.030000,2.190000,2.190000,5949376
2020-04-30,2.270000,2.450000,2.250000,2.390000,2.390000,10603089
2020-05-01,2.290000,2.300000,2.200000,2.220000,2.220000,10193013
2020-05-04,2.320000,2.450000,2.260000,2.350000,2.350000,9517500
2020-05-05,2.430000,2.620000,2.390000,2.600000,2.600000,11729925
2020-05-06,2.750000,2.940000,2.700000,2.820000,2.820000,15835686
2020-05-07,2.830000,3.000000,2.700000,2.860000,2.860000,11589265
2020-05-08,3.110000,3.420000,3.080000,3.270000,3.270000,20427132
2020-05-11,3.500000,3.630000,3.430000,3.480000,3.480000,15978183
2020-05-12,3.530000,3.540000,3.320000,3.420000,3.420000,9832536
2020-05-13,3.280000,3.420000,3.180000,3.380000,3.380000,11659145
2020-05-14,3.300000,3.390000,3.180000,3.190000,3.190000,7277238
2020-05-15,3.300000,3.330000,3.040000,3.090000,3.090000,10212831
2020-05-18,3.200000,3.200000,3.070000,3.090000,3.090000,6367052
2020-05-19,3.190000,3.250000,3.060000,3.090000,3.090000,8099017
2020-05-20,3.050000,3.380000,3.020000,3.350000,3.350000,10116720
2020-05-21,3.480000,3.490000,3.320000,3.380000,3.380000,8737150
2020-05-22,3.380000,3.480000,3.320000,3.370000,3.370000,6123723
2020-05-25,3.430000,3.620000,3.430000,3.580000,3.580000,8116273
2020-05-26,3.680000,3.760000,3.650000,3.700000,3.700000,6915635
2020-05-27,3.680000,3.740000,3.540000,3.660000,3.660000,6434781
2020-05-28,3.740000,3.770000,3.590000,3.620000,3.620000,4980716
2020-05-29,3.650000,3.750000,3.565000,3.750000,3.750000,6653896
2020-06-01,3.750000,3.750000,3.750000,3.750000,3.750000,0
2020-06-02,5.000000,5.400000,4.750000,5.200000,5.200000,32689246
2020-06-03,6.000000,6.790000,5.970000,6.350000,6.350000,42485796
2020-06-04,6.590000,6.730000,5.880000,5.950000,5.950000,27809846
2020-06-05,5.810000,5.860000,5.370000,5.640000,5.640000,20045499
2020-06-09,6.000000,6.530000,5.820000,6.530000,6.530000,20749219
2020-06-10,6.480000,6.750000,6.200000,6.750000,6.750000,13262540
2020-06-11,6.620000,6.970000,6.370000,6.530000,6.530000,14260277
2020-06-12,5.900000,6.480000,5.700000,6.300000,6.300000,20772948
2020-06-15,6.450000,6.470000,5.740000,5.770000,5.770000,14044849
2020-06-16,6.300000,6.420000,6.130000,6.320000,6.320000,12530870
2020-06-17,6.500000,6.540000,6.170000,6.300000,6.300000,9168096
2020-06-18,6.290000,6.490000,6.060000,6.140000,6.140000,13120430
2020-06-19,6.200000,6.260000,6.020000,6.160000,6.160000,9117606
2020-06-22,6.010000,6.140000,5.940000,6.000000,6.000000,5488282
2020-06-23,6.010000,6.110000,5.690000,5.920000,5.920000,9456724
2020-06-24,5.940000,6.080000,5.890000,5.900000,5.900000,5625382
2020-06-25,5.660000,5.760000,5.410000,5.490000,5.490000,10484534
2020-06-26,5.590000,5.670000,5.330000,5.450000,5.450000,5905792
2020-06-29,5.250000,5.380000,5.030000,5.090000,5.090000,10393169
2020-06-30,5.250000,5.340000,5.100000,5.230000,5.230000,7968375
